	Survived	Sex	Age	Fare	SibSp0	SibSp1	SibSp2	SibSp3	SibSp4	SibSp5	SibSp8	Parch0	Parch1	Parch2	Parch3	Parch4	Parch5	Parch6	Pclass1	Pclass2	Pclass3	EmbarkedC	EmbarkedQ	EmbarkedS
0	0	1	0.275	0.014151057562208049	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
1	1	0	0.47500000000000003	0.13913573538264068	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
2	1	0	0.325	0.015468569817999833	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
3	1	0	0.4375	0.10364429745562033	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
4	0	1	0.4375	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
5	0	1	0.0	0.01650950209357577	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
6	0	1	0.675	0.10122885832000206	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
7	0	1	0.025	0.04113566043083236	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
8	1	0	0.3375	0.021730754366528396	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
9	1	0	0.17500000000000002	0.058694292654020104	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
10	1	0	0.05	0.03259622914329302	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
11	1	0	0.7250000000000001	0.051822148727810165	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
12	0	1	0.25	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
13	0	1	0.48750000000000004	0.06104473451835265	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
14	0	0	0.17500000000000002	0.015330377421392339	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
15	1	0	0.6875	0.03122992013728673	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
16	0	1	0.025	0.05684821399990475	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
17	1	1	0.0	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
18	0	0	0.3875	0.03513366015444757	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
19	1	0	0.0	0.014102260811993537	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
20	0	1	0.4375	0.050748620223090936	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
21	1	1	0.42500000000000004	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
22	1	0	0.1875	0.015671954672893913	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
23	1	1	0.35000000000000003	0.06929138530460494	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
24	0	0	0.1	0.04113566043083236	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
25	1	0	0.47500000000000003	0.06126431989431795	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
26	0	1	0.0	0.014102260811993537	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
27	0	1	0.23750000000000002	0.5133418122566507	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
28	1	0	0.0	0.01537917417160685	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
29	0	1	0.0	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
30	0	1	0.5	0.05410739813385612	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
31	1	0	0.0	0.2859895551532101	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
32	1	0	0.0	0.015126992566498259	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
33	0	1	0.8250000000000001	0.020494635090094415	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
34	0	1	0.35000000000000003	0.16038672010106003	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
35	0	1	0.525	0.10149724044618187	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
36	1	1	0.0	0.014110458666029575	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
37	0	1	0.2625	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
38	0	0	0.225	0.03513366015444757	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
39	1	0	0.17500000000000002	0.021942337075458514	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
40	0	0	0.5	0.018493968331299484	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
41	0	0	0.3375	0.04098927018018883	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
42	0	1	0.0	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
43	1	0	0.037500000000000006	0.08115719346076702	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
44	1	0	0.23750000000000002	0.01537917417160685	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
45	0	1	0.0	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
46	0	1	0.0	0.030253985132996517	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
47	1	0	0.0	0.015126992566498259	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
48	0	1	0.0	0.04231498029001666	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
49	0	0	0.225	0.034743286152731485	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
50	0	1	0.08750000000000001	0.07746484096553544	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
51	0	1	0.2625	0.01522458606692728	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
52	1	0	0.6125	0.1497654242623688	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
53	1	0	0.36250000000000004	0.050748620223090936	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
54	0	1	0.8125	0.1209753416358076	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
55	1	1	0.0	0.06929138530460494	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
56	1	0	0.2625	0.020494635090094415	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
57	0	1	0.35625	0.014110458666029575	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
58	1	0	0.0625	0.05416439273810667	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
59	0	1	0.1375	0.09154270340242172	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1
60	0	1	0.275	0.014110458666029575	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
61	1	0	0.47500000000000003	0.15614960068643363	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
62	0	1	0.5625	0.16293234896625058	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
63	0	1	0.05	0.05445717323939373	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
64	0	1	0.0	0.05410739813385612	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
65	1	1	0.0	0.029757819776815374	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
66	1	0	0.36250000000000004	0.020494635090094415	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
67	0	1	0.23750000000000002	0.015923941091001644	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
68	1	0	0.21250000000000002	0.015468569817999833	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
69	0	1	0.325	0.016908073949327893	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
70	0	1	0.4	0.020494635090094415	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
71	0	0	0.2	0.09154270340242172	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1
72	0	1	0.2625	0.1434624456306609	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
73	0	1	0.325	0.028212719478023115	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
74	1	1	0.4	0.11027245763075773	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
75	0	1	0.3125	0.014931805565640218	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
76	0	1	0.0	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
77	0	1	0.0	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
78	1	1	0.010375	0.056604230248832196	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
79	1	0	0.375	0.024349578357040744	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
80	0	1	0.275	0.017566830077223785	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
81	1	1	0.36250000000000004	0.018542765081513996	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
82	1	0	0.0	0.015200187691820024	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
83	0	1	0.35000000000000003	0.09193307740413781	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
84	1	0	0.21250000000000002	0.020494635090094415	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
85	1	0	0.41250000000000003	0.030937139635999665	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
86	0	1	0.2	0.06709553154495196	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
87	0	1	0.0	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
88	1	0	0.28750000000000003	0.5133418122566507	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
89	0	1	0.30000000000000004	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
90	0	1	0.36250000000000004	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
91	0	1	0.25	0.015330377421392339	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
92	0	1	0.5750000000000001	0.11940564777490723	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
93	0	1	0.325	0.04015972542654215	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
94	0	1	0.7375	0.014151057562208049	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
95	0	1	0.0	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
96	0	1	0.8875000000000001	0.06764049365134761	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
97	1	1	0.28750000000000003	0.12366716556464086	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
98	1	0	0.42500000000000004	0.044893010197349675	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
99	0	1	0.42500000000000004	0.050748620223090936	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
100	0	0	0.35000000000000003	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
101	0	1	0.0	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
102	0	1	0.2625	0.15085515328815924	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
103	0	1	0.41250000000000003	0.016891873428256675	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
104	0	1	0.4625	0.015468569817999833	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
105	0	1	0.35000000000000003	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
106	1	0	0.2625	0.014931805565640218	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
107	1	1	0.0	0.015175789316712771	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
108	0	1	0.47500000000000003	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
109	1	0	0.0	0.04713766070721715	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
110	0	1	0.5875	0.10149724044618187	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
111	0	0	0.18125000000000002	0.028212719478023115	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
112	0	1	0.275	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
113	0	0	0.25	0.019177122834302632	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
114	0	0	0.21250000000000002	0.028220722145058292	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
115	0	1	0.2625	0.015468569817999833	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
116	0	1	0.8812500000000001	0.015126992566498259	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
117	0	1	0.36250000000000004	0.04098927018018883	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
118	0	1	0.30000000000000004	0.4831284260198326	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
119	0	0	0.025	0.06104473451835265	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
120	0	1	0.2625	0.1434624456306609	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
121	0	1	0.0	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
122	0	1	0.40625	0.058694292654020104	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
123	1	0	0.40625	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
124	0	1	0.675	0.15085515328815924	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
125	1	1	0.15000000000000002	0.021942337075458514	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
126	0	1	0.0	0.015126992566498259	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
127	1	1	0.30000000000000004	0.01393967004027879	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
128	1	0	0.0	0.04364049521284362	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
129	0	1	0.5625	0.013614293309848433	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
130	0	1	0.41250000000000003	0.015411575213749286	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
131	0	1	0.25	0.013760683560491965	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
132	0	0	0.5875	0.028302115124416098	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
133	1	0	0.36250000000000004	0.050748620223090936	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
134	0	1	0.3125	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
135	0	1	0.28750000000000003	0.02936744577509929	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
136	1	0	0.23750000000000002	0.051301584996521765	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
137	0	1	0.4625	0.10364429745562033	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
138	0	1	0.2	0.01798980030808316	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
139	0	1	0.30000000000000004	0.15458810467956932	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
140	0	0	0.0	0.029757819776815374	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
141	1	0	0.275	0.015126992566498259	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
142	1	0	0.30000000000000004	0.030937139635999665	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
143	0	1	0.23750000000000002	0.013175122557917838	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
144	0	1	0.225	0.022446505098674838	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
145	0	1	0.23750000000000002	0.07173122281533045	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
146	1	1	0.3375	0.015216388212891242	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
147	0	0	0.1125	0.06709553154495196	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
148	0	1	0.45625000000000004	0.050748620223090936	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
149	0	1	0.525	0.025374310111545468	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
150	0	1	0.6375000000000001	0.02444717185746977	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
151	1	0	0.275	0.12999454257145598	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
152	0	1	0.6937500000000001	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
153	0	1	0.50625	0.028302115124416098	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
154	0	1	0.0	0.014273049437744325	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
155	0	1	0.6375000000000001	0.11980421963065935	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
156	1	0	0.2	0.015094396337354966	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
157	0	1	0.375	0.015712553569072387	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
158	0	1	0.0	0.016908073949327893	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
159	0	1	0.0	0.13575255909676825	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
160	0	1	0.55	0.031425107138144774	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
161	1	0	0.5	0.030741952635141623	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
162	0	1	0.325	0.015175789316712771	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
163	0	1	0.21250000000000002	0.016908073949327893	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
164	0	1	0.0125	0.07746484096553544	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
165	1	1	0.1125	0.04006213192611313	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
166	1	0	0.0	0.10735285047192313	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
167	0	0	0.5625	0.05445717323939373	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
168	0	1	0.0	0.050602229972447406	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
169	0	1	0.35000000000000003	0.11027245763075773	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
170	0	1	0.7625000000000001	0.06538764528744409	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
171	0	1	0.05	0.05684821399990475	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
172	1	0	0.0125	0.021730754366528396	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
173	0	1	0.2625	0.015468569817999833	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
174	0	1	0.7000000000000001	0.05991421140938287	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
